_id,State,Constituency,Party,Candidate Name,,,,
153,Andhra Pradesh,Narsapuram,Republican Party of India (A),GANJI PURNIMA,,,,
154,Andhra Pradesh,Narsapuram,Independent,RUKHMINI,,,,
155,Andhra Pradesh,Narsapuram,Independent,GOTTUMUKKALA SHIVAJI,,,,
156,Andhra Pradesh,Narsapuram,Independent,GEDALA LAXMANA RAO,,,,
157,Andhra Pradesh,Narsapuram,Independent,ANAND CHANDULAL JASTI,,,,
158,Andhra Pradesh,Narsapuram,Bharatiya Janata Party,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),,,,
159,Andhra Pradesh,Narsapuram,Independent,ADDEPALLI VEERA VENKAT SUBBA RAO,,,,
160,Andhra Pradesh,Narsapuram,Independent,RAMA DURGA PRASAD THOLETI,,,,
161,Andhra Pradesh,Narsapuram,Yuvajana Sramika Rythu Congress Party,UMABALA GUDURI,,,,
162,Andhra Pradesh,Narsapuram,Independent,KETHA SREENU,,,,
163,Andhra Pradesh,Narsapuram,Independent,MEDAPATI VENKATA VARAHALA REDDY,,,,
164,Andhra Pradesh,Narsapuram,Pyramid Party of India,MANNE LEELA RAMA NARENDRA,,,,
165,Andhra Pradesh,Narsapuram,Jaibhim Rao Bharat Party,OLETY NAGENDRA KRISHNA,,,,
166,Andhra Pradesh,Eluru,Navarang Congress Party,AJAY BABU BODA,,,,
167,Andhra Pradesh,Eluru,Independent,KANDAVALLI JEEVA DEVA DAYAKAR,,,,
168,Andhra Pradesh,Eluru,Bharatheeya Jawan Kisan Party,RAJESWARA RAO KONDRU,,,,
169,Andhra Pradesh,Eluru,Yuvajana Sramika Rythu Congress Party,KARUMURI SUNIL KUMAR,,,,
170,Andhra Pradesh,Eluru,Indian National Congress,KAVURI LAVANYA,,,,
171,Andhra Pradesh,Eluru,Telugu Desam,PUTTA MAHESH KUMAR,,,,
172,Andhra Pradesh,Eluru,Pyramid Party of India,GODUGUPATI VEERA RAGHAVULU,,,,
173,Andhra Pradesh,Eluru,Bahujan Samaj Party,NITTA AKHILA DHARANI PAL,,,,
174,Andhra Pradesh,Eluru,Bharatha Chaitanya Yuvajana Party,BYRABOYINA MALYADRI,,,,
175,Andhra Pradesh,Eluru,Liberation Congress Party,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),,,,
176,Andhra Pradesh,Eluru,Independent,AGASTEEN KOMMINA,,,,
177,Andhra Pradesh,Eluru,Andhra Rastra Praja Samithi,RUDRAPAKA RATNA RAO (R.R.R),,,,
178,Andhra Pradesh,Eluru,Independent,BOKINALA KOTESWARA RAO,,,,
179,Andhra Pradesh,Machilipatnam,Jai Maha Bharath Party,MARADANI K R SWAMY,,,,
180,Andhra Pradesh,Machilipatnam,Bahujan Samaj Party,DEVAMANI DEVARAPALLI,,,,
181,Andhra Pradesh,Machilipatnam,Jatiya Jana Sena Party,BAAL SHOURI CHODABATHINA,,,,
182,Andhra Pradesh,Machilipatnam,Independent,PAMULA BALA SOWRYAMMA,,,,
183,Andhra Pradesh,Machilipatnam,Independent,DAMODARA RAO GUDAVALLI,,,,
184,Andhra Pradesh,Machilipatnam,Janasena Party,BALASHOWRY VALLABHANENI,,,,
185,Andhra Pradesh,Machilipatnam,Independent,ANUSHA YERUVA,,,,
186,Andhra Pradesh,Machilipatnam,Independent,APPARAO ENNETI,,,,
187,Andhra Pradesh,Machilipatnam,Independent,JOGI VEERANJANEYULU,,,,
188,Andhra Pradesh,Machilipatnam,All India Forward Bloc,KOMMARAJU SIVA NARASIMHA RAO,,,,
189,Andhra Pradesh,Machilipatnam,Independent,GUDAVALLI VENKATA KEDARESWARA RAO,,,,
190,Andhra Pradesh,Machilipatnam,Independent,GANDHI  DHANEKULA,,,,
191,Andhra Pradesh,Machilipatnam,Indian National Congress,GOLLU KRISHNA,,,,
192,Andhra Pradesh,Machilipatnam,Independent,VALLABHANENI NAGA PAVAN KUMAR,,,,
193,Andhra Pradesh,Machilipatnam,Yuvajana Sramika Rythu Congress Party,SIMHADRI CHANDRA SEKHAR RAO,,,,
194,Andhra Pradesh,Vijayawada,Bahujan Samaj Party,MEKA VENKATESWARA RAO,,,,
195,Andhra Pradesh,Vijayawada,Jaibhim Rao Bharat Party,DATLA LURTHU MERI,,,,
196,Andhra Pradesh,Vijayawada,Telugu Desam,KESINENI SIVANATH (CHINNI),,,,
197,Andhra Pradesh,Vijayawada,Indian National Congress,BHARGAV VALLURU,,,,
