_id,State,Constituency,Party,Candidate Name,,,,
6487,Telangana,Adilabad,Alliance of Democratic Reforms Party,MALOTHU SYAMLAL NAYAK,,,,
6488,Telangana,Peddapalle,Independent,BOODIDHA THIRUPATHI,,,,
6489,Telangana,Peddapalle,Yuva Taram Party,CHILUKA ANAND,,,,
6490,Telangana,Peddapalle,New India Party,MOLUGU VENKATESH,,,,
6491,Telangana,Peddapalle,Independent,KONKATI LINGA MURTHI,,,,
6492,Telangana,Peddapalle,Bahujan Samaj Party,ERUKULLA RAJA NARSAIAH,,,,
6493,Telangana,Peddapalle,Independent,DR VASARLA NATHANIAL,,,,
6494,Telangana,Peddapalle,Independent,KASHI SATHISH KUMAR,,,,
6495,Telangana,Peddapalle,Anti Corruption Dynamic Party,KASHI SATHISH KUMAR,,,,
6496,Telangana,Peddapalle,Independent,MEKALA AKSHAY KUMAR,,,,
6497,Telangana,Peddapalle,Independent,RAJKUMAR DURGAM,,,,
6498,Telangana,Peddapalle,Independent,SRINIVAS PANTHUKALA,,,,
6499,Telangana,Peddapalle,Independent,NAVEEN NUKALA,,,,
6500,Telangana,Peddapalle,Dharma Samaj Party,RAMESH MANDA,,,,
6501,Telangana,Peddapalle,Independent,JUPAKA KIRAN,,,,
6502,Telangana,Peddapalle,Dalita Bahujana Party,RAMCHANDAR NICHHAKOLA,,,,
6503,Telangana,Peddapalle,Independent,MULKALLA RAJENDRAPRASAD,,,,
6504,Telangana,Peddapalle,Independent,KATKURI SANDEEP,,,,
6505,Telangana,Peddapalle,Bharatiya Janata Party,SRINIVAS GOMASE,,,,
6506,Telangana,Peddapalle,Prajarajya Samithi,DURGAM SANTHOSH,,,,
6507,Telangana,Peddapalle,Bharat Rashtra Samithi,ESHWAR KOPPULA,,,,
6508,Telangana,Peddapalle,Independent,DURGAM RAMULU,,,,
6509,Telangana,Peddapalle,Independent,KADASI SHEKHAR,,,,
6510,Telangana,Peddapalle,Bahujan Mukti Party,VENUGOPAL MOYYI,,,,
6511,Telangana,Peddapalle,Independent,TALLAPALLY NARESH,,,,
6512,Telangana,Peddapalle,Peoples Party of India (Democratic),MOTHE NARESH,,,,
6513,Telangana,Peddapalle,Rashtriya Manav Party,KANDI CHANDU,,,,
6514,Telangana,Peddapalle,Independent,DAGAM SRINIVAS,,,,
6515,Telangana,Peddapalle,Independent,GADDAM MARUTHI,,,,
6516,Telangana,Peddapalle,Independent,MAMIDIPALLY BAPAIAH,,,,
6517,Telangana,Peddapalle,Independent,AARNAKONDA RAJU,,,,
6518,Telangana,Peddapalle,Indian National Congress,VAMSI KRISHNA GADDAM,,,,
6519,Telangana,Peddapalle,Independent,CHANDANAGIRI SHRINIVAS,,,,
6520,Telangana,Peddapalle,Independent,KURMA MAHENDER,,,,
6521,Telangana,Peddapalle,Independent,RAJESHAM RACHARLA,,,,
6522,Telangana,Peddapalle,Pyramid Party of India,ERUGURALA BHAGYALAXMI,,,,
6523,Telangana,Peddapalle,Independent,ERIKILLA RAJESH,,,,
6524,Telangana,Peddapalle,Socialist Party (India),KANAKAIAH MULKALA,,,,
6525,Telangana,Peddapalle,Alliance of Democratic Reforms Party,AMBOJU SUMALATHA,,,,
6526,Telangana,Peddapalle,Independent,DUDA MAHIPAL,,,,
6527,Telangana,Peddapalle,Independent,NARESH JANAGAMA,,,,
6528,Telangana,Peddapalle,Independent,BOTLA CHANDRAIAH,,,,
6529,Telangana,Peddapalle,Independent,RAMULA KARTHIK,,,,
6530,Telangana,Peddapalle,Independent,AKKAPAKA THIRUPATHI,,,,
6531,Telangana,Karimnagar,Bahujan Samaj Party,MAREPALLI MOGILAIAH,,,,
6532,Telangana,Karimnagar,Independent,MANASA PERALA,,,,
6533,Telangana,Karimnagar,Independent,VENKATANARSAIAH DYAGALA @ DEGALA,,,,
6534,Telangana,Karimnagar,Dharma Samaj Party,CHILUVERU SRIKANTH,,,,
6535,Telangana,Karimnagar,Pyramid Party of India,CHINTHA ANILKUMAR,,,,
6536,Telangana,Karimnagar,Bharat Rashtra Samithi,VINOD KUMAR BOIANAPALLI,,,,
6537,Telangana,Karimnagar,Independent,ANOSE KATKOORI,,,,
6538,Telangana,Karimnagar,National Nava Kranthi Party,ANILREDDY KADTHALA,,,,
6539,Telangana,Karimnagar,Bahujan Mukti Party,PODISHETTI SAMMAIAH,,,,
6540,Telangana,Karimnagar,Bharatiya Janata Party,BANDI SANJAY KUMAR,,,,
6541,Telangana,Karimnagar,Telugu Congress Party,CHEEKOTI VARUN KUMAR GUPTA,,,,
6542,Telangana,Karimnagar,Independent,JOURNALIST VIKRAM REDDY VEMULAA,,,,
6543,Telangana,Karimnagar,Independent,SHIVARATRI SRINIVAS,,,,
6544,Telangana,Karimnagar,Bharathiya YuvaKula Dalam,SRAVAN PEDDAPELLY,,,,
6545,Telangana,Karimnagar,Independent,GADDA SATHISH,,,,
6546,Telangana,Karimnagar,Socialist Party (India),RANAPRATAP GATTU,,,,
6547,Telangana,Karimnagar,Independent,GATTAIAH YADAV BARIGE,,,,
6548,Telangana,Karimnagar,Independent,GUDISHE  MOHAN,,,,
6549,Telangana,Karimnagar,Independent,AKSHAY KUMAR MEKALA,,,,
6550,Telangana,Karimnagar,Social Justice Party of India,ASHOK PANCHIKA,,,,
6551,Telangana,Karimnagar,Independent,KOTA SHYAM KUMAR,,,,
6552,Telangana,Karimnagar,Independent,RAJENDER POTHURI,,,,
6553,Telangana,Karimnagar,Indian National Congress,VELCHALA RAJENDER RAO,,,,
6554,Telangana,Karimnagar,Independent,GAVVALA LAXMI,,,,
6555,Telangana,Karimnagar,Alliance of Democratic Reforms Party,ARUNA THALLAPALLY,,,,
6556,Telangana,Karimnagar,Independent,ABBADI BUCHI REDDY,,,,
6557,Telangana,Karimnagar,Independent,DEVUNOORI SRINIVASU,,,,
6558,Telangana,Karimnagar,Independent,RAPOLE RAMKUMAR BHARADWAJ,,,,
6559,Telangana,Nizamabad,Bahujan Samaj Party,PUPPALA LIMBADRI,,,,
6560,Telangana,Nizamabad,Independent,RAPELLY SRINIVAS,,,,
6561,Telangana,Nizamabad,Independent,GOPI CHENDRIAH,,,,
6562,Telangana,Nizamabad,Independent,TUTUKURU JEEVAN REDDY,,,,
6563,Telangana,Nizamabad,Independent,MALAVAT VITHAL,,,,
6564,Telangana,Nizamabad,Independent,PALAMURI SAI NIKHIL,,,,
6565,Telangana,Nizamabad,Bahujan Mukti Party,DEVATHI SRINIVAS,,,,
6566,Telangana,Nizamabad,Independent,KOTHAKONDA SHAKTI PRASAD,,,,
6567,Telangana,Nizamabad,Yuga Thulasi Party,GUYYA SAIKRISHNA MURTHY,,,,
6568,Telangana,Nizamabad,Independent,VEMULAA VIKRAM REDDY,,,,
6569,Telangana,Nizamabad,Anna YSR Congress Party,ALI MANSOOR,,,,
6570,Telangana,Nizamabad,Bharatiya Janata Party,ARVIND DHARMAPURI,,,,
6571,Telangana,Nizamabad,Bahujana Left Party,ABBAGONI ASHOK GOUD,,,,
6572,Telangana,Nizamabad,Independent,GANTA CHARITHA RAO,,,,
6573,Telangana,Nizamabad,India Praja Bandhu Party,MOGILI RAJKUMAR,,,,
6574,Telangana,Nizamabad,Indian National Congress,JEEVANREDDY THATIPARTHI,,,,
6575,Telangana,Nizamabad,Independent,DESHABOINA LAXMINARAYANA,,,,
6576,Telangana,Nizamabad,Independent,ARE RAJENDHAR,,,,
6577,Telangana,Nizamabad,Dalita Bahujana Party,GOLI. NARESH,,,,
6578,Telangana,Nizamabad,Dharma Samaj Party,KANDELA SUMAN,,,,
6579,Telangana,Nizamabad,Independent,PRASHANTH KATRAJI,,,,
6580,Telangana,Nizamabad,Vidhyarthula Rajakiya Party,BHUKYA. NANDU,,,,
6581,Telangana,Nizamabad,Independent,KOTAGIRI SRINIVAS,,,,
6582,Telangana,Nizamabad,Alliance of Democratic Reforms Party,YOUGENDAR GATLA,,,,
6583,Telangana,Nizamabad,Independent,B B NAIK,,,,
6584,Telangana,Nizamabad,Independent,RAPALLY SATYANARAYANA,,,,
6585,Telangana,Nizamabad,Bharat Rashtra Samithi,GOVERDHAN BAJIREDDY,,,,
6586,Telangana,Nizamabad,Independent,SYED ASGAR,,,,
6587,Telangana,Nizamabad,Independent,RAGI ANIL,,,,
6588,Telangana,Zahirabad,All India Forward Bloc,GURRAPU MACHANDER,,,,
6589,Telangana,Zahirabad,India Praja Bandhu Party,ROMALA BABU DURGAIAH,,,,
6590,Telangana,Zahirabad,Independent,S. RAJU,,,,
6591,Telangana,Zahirabad,Independent,ASHOK TALARI,,,,
6592,Telangana,Zahirabad,Bharat Rashtra Samithi,ANILKUMAR GALI,,,,
6593,Telangana,Zahirabad,Independent,JAIPAL NAYAK JADAVATH,,,,
6594,Telangana,Zahirabad,Independent,SATYANARAYANA GOUD KOVURI,,,,
6595,Telangana,Zahirabad,Independent,MOHD SADDAM,,,,
6596,Telangana,Zahirabad,Indian National Congress,SURESH KUMAR SHETKAR,,,,
6597,Telangana,Zahirabad,Independent,YAKUB SHARIF MD,,,,
6598,Telangana,Zahirabad,Independent,RAMESH. SAJJAPUR.,,,,
6599,Telangana,Zahirabad,Dharma Samaj Party,T.D.S. MANI,,,,
6600,Telangana,Zahirabad,Alliance of Democratic Reforms Party,CHAVAGANI MANI,,,,
6601,Telangana,Zahirabad,Bharatiya Janata Party,B. B. PATIL,,,,
6602,Telangana,Zahirabad,Independent,MAHADHEV SWAMI MATAM,,,,
6603,Telangana,Zahirabad,Pyramid Party of India,MALEPU MOHAN REDDY,,,,
6604,Telangana,Zahirabad,Telangana Praja Shakthi Party,KOTHA BALIJA BASWARAJ,,,,
6605,Telangana,Zahirabad,Independent,B. MARUTHI RAO,,,,
6606,Telangana,Zahirabad,Independent,KAMMARI ANANDEESHWAR,,,,
6607,Telangana,Medak,Independent,DADIGE RAJENDAR,,,,
6608,Telangana,Medak,Independent,DASARI BHANUCHANDER,,,,
6609,Telangana,Medak,Bahujan Samaj Party,BODAPATLA ESHWAR,,,,
6610,Telangana,Medak,Independent,K.RAGHU,,,,
6611,Telangana,Medak,Independent,A. KRANTHI KUMAR,,,,
6612,Telangana,Medak,Independent,S RAJESH SAGAR,,,,
6613,Telangana,Medak,Independent,ABHILASH SHIRNA,,,,
6614,Telangana,Medak,Independent,BALESH UPPARI,,,,
6615,Telangana,Medak,Independent,ABHILASH CHELIMELA,,,,
6616,Telangana,Medak,Independent,KONDI ASHOK,,,,
6617,Telangana,Medak,Independent,MOHD AZHER,,,,
6618,Telangana,Medak,Independent,VENKATESH BEJUGAM,,,,
6619,Telangana,Medak,Independent,PRADEEP,,,,
6620,Telangana,Medak,Independent,GADILA ANJANEYULU,,,,
6621,Telangana,Medak,Independent,ATI ANJANEYULU,,,,
6622,Telangana,Medak,National Nava Kranthi Party,INDRAGOUD SILIVERI,,,,
6623,Telangana,Medak,Bharat Rashtra Samithi,P. VENKATRAMA REDDY,,,,
6624,Telangana,Medak,Viduthalai Chiruthaigal Katchi,URELLI YELLAIAH,,,,
6625,Telangana,Medak,Jana Shankhaaraavam Party,ABISHEK GOUD THABETI,,,,
6626,Telangana,Medak,Independent,MEDI SRINIVAS REDDI,,,,
6627,Telangana,Medak,Bharat Jodo Party,ANIL GOUD,,,,
6628,Telangana,Medak,Bharatiya Janata Party,MADHAVANENI RAGHUNANDAN RAO,,,,
6629,Telangana,Medak,Independent,KASOJU SRIKANTH,,,,
6630,Telangana,Medak,Independent,BOMMALA VIJAY KUMAR,,,,
6631,Telangana,Medak,Alliance of Democratic Reforms Party,NANDA KISHORE TALLADA,,,,
6632,Telangana,Medak,Independent,MAREPALLY LAXMINARAYANA,,,,
6633,Telangana,Medak,Independent,D. NARAHARI,,,,
6634,Telangana,Medak,Dharma Samaj Party,ANNELA LAXMAN,,,,
6635,Telangana,Medak,Indian National Congress,NEELAM MADHU,,,,
6636,Telangana,Medak,Independent,VUTLA RAMESH,,,,
6637,Telangana,Medak,Independent,C.H. NAVEEN KUMAR,,,,
6638,Telangana,Medak,Independent,K. LAXMINARAYANA,,,,
6639,Telangana,Medak,Independent,KOLKUR PRATAP,,,,
6640,Telangana,Medak,Alliance of Democratic Reforms Party,MEDI SRINIVAS REDDI,,,,
6641,Telangana,Medak,Telangana Praja Shakthi Party,DODLA VENKAT,,,,
6642,Telangana,Medak,India Praja Bandhu Party,MAISANGARI SUNIL,,,,
6643,Telangana,Medak,Independent,SATYANARAYANA GOUD KOVURI,,,,
6644,Telangana,Medak,Praja Velugu Party,SARA YADAGIRI GOUD,,,,
6645,Telangana,Medak,Independent,ADLA KUMAR,,,,
6646,Telangana,Medak,Independent,DUBALA SRI SAILAM,,,,
6647,Telangana,Medak,Socialist Unity Centre Of India (COMMUNIST),BANDAPALLY SRINIVAS,,,,
6648,Telangana,Medak,Independent,GONDHI BHUJANGAMU,,,,
6649,Telangana,Medak,Independent,NAGAMANI ACHA,,,,
6650,Telangana,Medak,Independent,GOUTI MALLESH,,,,
6651,Telangana,Medak,Pyramid Party of India,GOLLAPALLY SAYA GOUD,,,,
6652,Telangana,Malkajgiri,Independent,BANJAPALLY SUDHA RANI,,,,
6653,Telangana,Malkajgiri,Independent,CHIRIPI REDDY RAMESH,,,,
6654,Telangana,Malkajgiri,Independent,DONTHULA BIKSHAPATHI,,,,
6655,Telangana,Malkajgiri,Independent,MOUTAM SAMPATH,,,,
6656,Telangana,Malkajgiri,Rashtra Samanya Praja Party,APPARAO KONDA,,,,
6657,Telangana,Malkajgiri,Social Justice Party of India,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,,,,
6658,Telangana,Malkajgiri,Indian National Congress,PATNAM SUNEETHA MAHENDER REDDY,,,,
6659,Telangana,Malkajgiri,Vidhyarthula Rajakiya Party,NARRA SUKHENDER REDDY,,,,
6660,Telangana,Malkajgiri,Bharathiya YuvaKula Dalam,PEDDAPALLI SANDEEP,,,,
6661,Telangana,Malkajgiri,Independent,R. SUBENDER SINGH,,,,
6662,Telangana,Malkajgiri,Independent,VAISHNAVI PRASAD,,,,
6663,Telangana,Malkajgiri,Bahujan Samaj Party,ANITHA REDDY SHEELAM,,,,
6664,Telangana,Malkajgiri,Telangana Republican Party,YADISHWAR NAKKA,,,,
6665,Telangana,Malkajgiri,Dharma Samaj Party,BOIN DURGA PRASAD YADAV,,,,
6666,Telangana,Malkajgiri,Independent,KANTE SAYANNA,,,,
6667,Telangana,Malkajgiri,Bharat Rashtra Samithi,RAGIDI LAXMA REDDY,,,,
6668,Telangana,Malkajgiri,Bharatiya Janata Party,EATALA RAJENDER,,,,
6669,Telangana,Malkajgiri,Jai Bharat National Party,JUVVA PHANI KUMAR CHOWDARY,,,,
6670,Telangana,Malkajgiri,Independent,RAJESH MISHRA,,,,
6671,Telangana,Malkajgiri,Independent,THALLADA VENKATESWARLU,,,,
6672,Telangana,Malkajgiri,Independent,BHARATHA SUDARSHAN,,,,
6673,Telangana,Malkajgiri,Independent,PAREE (PESARIKAYALA PAREEKSHITH REDDY),,,,
6674,Telangana,Secunderabad,Independent,LUNAVATH HARI RAM,,,,
6675,Telangana,Secunderabad,Independent,MD KHALEEL UZ ZAMA,,,,
6676,Telangana,Secunderabad,Jai Bharat National Party,GANESH BHARGAVI GUNDE,,,,
6677,Telangana,Secunderabad,Anna YSR Congress Party,MOHAMMED AYUB ALI,,,,
6678,Telangana,Secunderabad,Bahujan Samaj Party,DR.  BASWANANDAM DANDEPU,,,,
6679,Telangana,Secunderabad,Independent,ANDRAPU SUDARSHAN,,,,
6680,Telangana,Secunderabad,Dharma Samaj Party,RAASALA VINOD KUMAR,,,,
6681,Telangana,Secunderabad,All India Backward People Sunami Party,CHEEKATI BHUPAL GOUD,,,,
6682,Telangana,Secunderabad,Independent,MOHAMMED IBRAHIM AHMED,,,,
6683,Telangana,Secunderabad,All India Majlis-E-Inquilab-E-Millat,MOHAMMED RAFIUDDIN KALEEM,,,,
6684,Telangana,Secunderabad,Yuga Thulasi Party,KOLISETTY SHIVA KUMAR,,,,
6685,Telangana,Secunderabad,Independent,SAPAVAT SUMAN,,,,
6686,Telangana,Secunderabad,Independent,IBRAHIM KHAN,,,,
6687,Telangana,Secunderabad,Independent,JUNAID ANAM SIDDIQUI,,,,
6688,Telangana,Secunderabad,Independent,BOGGULA SUNIITHHA,,,,
6689,Telangana,Secunderabad,Indian National Yuva Jana Party,KRANTHI KUMAR BANDELA,,,,
6690,Telangana,Secunderabad,Independent,MOHAMMED FASI UDDIN,,,,
6691,Telangana,Secunderabad,Independent,BATHULA RAVI,,,,
6692,Telangana,Secunderabad,Independent,KONDOJU MOHAN,,,,
6693,Telangana,Secunderabad,Independent,K. MURALI KRISHNA,,,,
6694,Telangana,Secunderabad,Indian National Congress,DANAM NAGENDER,,,,
6695,Telangana,Secunderabad,Telangana Rajya Samithi,SARARAPU SRISAILAM,,,,
6696,Telangana,Secunderabad,Independent,V. K. VIJAYA LAKSHMI,,,,
6697,Telangana,Secunderabad,Viduthalai Chiruthaigal Katchi,PAGIDIPALLI SHYAMSON,,,,
6698,Telangana,Secunderabad,Social Justice Party of India,GOWLIKAR SONY,,,,
6699,Telangana,Secunderabad,Independent,UTTAM PRAVEEN KUMAR,,,,
6700,Telangana,Secunderabad,Independent,REDDYMALLA PARVATHI,,,,
6701,Telangana,Secunderabad,Independent,PAMPARI NARENDER,,,,
6702,Telangana,Secunderabad,Independent,MOHAMMED AKRAM ALI KHAN,,,,
6703,Telangana,Secunderabad,Independent,VELAMARTHI. RAVI KIRAN,,,,
6704,Telangana,Secunderabad,Independent,PULIMAMIDI VENKATESH GUPTA,,,,
6705,Telangana,Secunderabad,Pyramid Party of India,BOMMAKANTI SOWMYA,,,,
6706,Telangana,Secunderabad,Independent,SYED KHADER,,,,
6707,Telangana,Secunderabad,Independent,P C LINGANNA,,,,
6708,Telangana,Secunderabad,Independent,KRUPAVARAM GANDU,,,,
6709,Telangana,Secunderabad,Independent,DEVENDAR KONNE,,,,
6710,Telangana,Secunderabad,Independent,SANGALA FLORY,,,,
6711,Telangana,Secunderabad,Independent,MACHCHERLA VENKATA REDDY,,,,
6712,Telangana,Secunderabad,Jai Swaraj Party,R.S.J. THOMAS,,,,
6713,Telangana,Secunderabad,Independent,MOHAMMED ABDUL AZEEM,,,,
6714,Telangana,Secunderabad,Socialist Party (India),B . SUNITHA RANI,,,,
6715,Telangana,Secunderabad,Bharat Rashtra Samithi,PADMA RAO . T,,,,
6716,Telangana,Secunderabad,Socialist Unity Centre Of India (COMMUNIST),DR. R. GANGADHAR,,,,
6717,Telangana,Secunderabad,Bharatiya Janata Party,G. KISHAN REDDY,,,,
6718,Telangana,Secunderabad,Independent,CHALIKA CHANDRA SEKHAR,,,,
6719,Telangana,Hyderabad,Independent,SATTI SHABABU REDDY,,,,
6720,Telangana,Hyderabad,Viduthalai Chiruthaigal Katchi,DR.J.PADMAJA,,,,
6721,Telangana,Hyderabad,Independent,AMJAD KHAN,,,,
6722,Telangana,Hyderabad,Bharatiya Janata Party,MADHAVI LATHA KOMPELLA,,,,
6723,Telangana,Hyderabad,Indian Praja Congress,SALVERU RAMESH,,,,
6724,Telangana,Hyderabad,Maa Telangana Party,ASHOK KUMAR MAMBA,,,,
6725,Telangana,Hyderabad,Dharma Samaj Party,GADDAM HARISH GOUD,,,,
6726,Telangana,Hyderabad,Independent,ANIL SEN,,,,
6727,Telangana,Hyderabad,All India Majlis-E-Inquilab-E-Millat,KHAJA MOINUDDIN,,,,
6728,Telangana,Hyderabad,Vidhyarthula Rajakiya Party,DR.LUBNA SARWATH,,,,
6729,Telangana,Hyderabad,Bahujan Samaj Party,K.S.KRISHNA,,,,
6730,Telangana,Hyderabad,Independent,CHAITANYA KUMAR REDDY PELLAKURU,,,,
6731,Telangana,Hyderabad,United States of India Party,SYED ANWAR,,,,
6732,Telangana,Hyderabad,Independent,SYED ANWAR,,,,
6733,Telangana,Hyderabad,Indian National Yuva Jana Party,KRANTHI KUMAR BANDELA,,,,
6734,Telangana,Hyderabad,Yuga Thulasi Party,MEKALA RAGHUMA REDDY,,,,
6735,Telangana,Hyderabad,Indian National Congress,MOHAMMED WALIULLAH SAMEER,,,,
6736,Telangana,Hyderabad,Telangana Jaghir Party,SILIVERU NARESH,,,,
6737,Telangana,Hyderabad,Dalita Bahujana Party,SHAIK BASHA,,,,
6738,Telangana,Hyderabad,Bharat Rashtra Samithi,SRINIVAS YADAV GADDAM,,,,
6739,Telangana,Hyderabad,Independent,M.K.AHMED,,,,
6740,Telangana,Hyderabad,Praja Ektha Party,SARAF TULASI GUPTA,,,,
6741,Telangana,Hyderabad,Bahujan Mukti Party,ANDE USHA KANNA,,,,
6742,Telangana,Hyderabad,Independent,J.SHYAMSUNDER RAO,,,,
6743,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,ASADUDDIN OWAISI,,,,
6744,Telangana,Hyderabad,Sakala Janula Party,RAMESH KUMAR MATANGI,,,,
6745,Telangana,Hyderabad,Yuva Taram Party,V.SHANKER,,,,
6746,Telangana,Hyderabad,Telangana Prajaa Jeevana Rythu Party,L.ASHOKNATH,,,,
6747,Telangana,Hyderabad,Socialist Party (India),AMBI HANUMANTH RAO,,,,
6748,Telangana,Hyderabad,All India Mahila Empowerment Party,M.JOHNSON,,,,
6749,Telangana,Hyderabad,Alliance of Democratic Reforms Party,JAMEEL SAYED,,,,
6750,Telangana,Chevella,Rashtra Samanya Praja Party,SERUBAI VASANTH KUMAR,,,,
6751,Telangana,Chevella,Blue India Party,CHINTALAGARI VENKAT SWAMY,,,,
6752,Telangana,Chevella,Revolutionary Socialist Party,RANJIT REDDY GADE,,,,
6753,Telangana,Chevella,Independent,JALEEL AHMED,,,,
6754,Telangana,Chevella,Independent,G MALLESHAM GOUD,,,,
6755,Telangana,Chevella,Independent,KAVALI SUKUMAR,,,,
6756,Telangana,Chevella,Telangana Republican Party,NARASIMHA REDDY DYAPA,,,,
6757,Telangana,Chevella,Independent,ANJANEYULU NEERATI,,,,
6758,Telangana,Chevella,Independent,MOHAMMAD RIAZUR REHMAN SHAIK,,,,
6759,Telangana,Chevella,Independent,ANKAGALA PRAVEEN KUMAR,,,,
6760,Telangana,Chevella,India Praja Bandhu Party,PALAMAKULA MADHU,,,,
6761,Telangana,Chevella,Praja Velugu Party,DURGA PRASAD T,,,,
6762,Telangana,Chevella,All India Forward Bloc,KONDA VISHVESHWAR REDDY,,,,
6763,Telangana,Chevella,Indian National Congress,DR GADDAM RANJITH REDDY,,,,
6764,Telangana,Chevella,Independent,EESARI SURYAPRAKASH REDDY,,,,
6765,Telangana,Chevella,Bahujan Mukti Party,P GOVIND,,,,
6766,Telangana,Chevella,Independent,JANAPALA DURGA PRASAD,,,,
6767,Telangana,Chevella,Social Justice Party of India,PHANI PRASAD KATAKAM,,,,
6768,Telangana,Chevella,Desh Janhit Party,MOHD SHAKEEL,,,,
6769,Telangana,Chevella,Independent,KATHULA YADAIAH,,,,
6770,Telangana,Chevella,Jai Swaraj Party,SUGURU SRINIVAS,,,,
6771,Telangana,Chevella,Independent,MOHAMMED IQBAL,,,,
6772,Telangana,Chevella,Bharatiya Janata Party,KONDA VISHWESHWAR REDDY,,,,
6773,Telangana,Chevella,Independent,SAHITHI DASARI,,,,
6774,Telangana,Chevella,Independent,MOHAMMED ALI,,,,
6775,Telangana,Chevella,Alliance of Democratic Reforms Party,SRIDEVI M,,,,
6776,Telangana,Chevella,Independent,GOVIND LAL,,,,
6777,Telangana,Chevella,Yuga Thulasi Party,RAMULU BINGI,,,,
6778,Telangana,Chevella,Independent,MOHAMMAD PASHA,,,,
6779,Telangana,Chevella,Bharat Rashtra Samithi,KASANI GYANESHWAR KASANI,,,,
6780,Telangana,Chevella,Independent,VISHWAKARMA SAPTHAGIRI,,,,
6781,Telangana,Chevella,Marxist Communist Party of India (United),SUDHAKAR VANAM,,,,
6782,Telangana,Chevella,Independent,GONE SRINIVAS REDDY,,,,
6783,Telangana,Chevella,Dharma Samaj Party,THOTLA RAGHAVENDER MUDIRAJ,,,,
6784,Telangana,Chevella,All India Majlis-E-Inquilab-E-Millat,MOHAMMED ABDUL QAVI ABBASI,,,,
6785,Telangana,Chevella,Independent,KANDIKEKAR SRINIVAS,,,,
6786,Telangana,Chevella,Rashtriya Praja Congress  (Secular),MOHAMMED SALEEM,,,,
6787,Telangana,Chevella,Independent,V PANDU,,,,
6788,Telangana,Chevella,Independent,AMIR SAJID,,,,
6789,Telangana,Chevella,Independent,MOHAMMED AFSAR QUDOOS,,,,
6790,Telangana,Chevella,Praja Ektha Party,SANEM RAJU GOUD,,,,
6791,Telangana,Chevella,Independent,MOHAMMED SALEEM,,,,
6792,Telangana,Chevella,Independent,MOHAMMED MUSTAFA RIZWAN,,,,
6793,Telangana,Chevella,Socialist Party (India),B V RAMESH NAIDU,,,,
6794,Telangana,Mahbubnagar,Independent,KURA VENKATAIAH,,,,
6795,Telangana,Mahbubnagar,Jai Swaraj Party,MARLA ANJANEYULU,,,,
6796,Telangana,Mahbubnagar,Independent,A. SRINIVASULU,,,,
6797,Telangana,Mahbubnagar,Independent,KINNERA YADAGIRI,,,,
6798,Telangana,Mahbubnagar,Independent,K. UDAY TEJ NAIK,,,,
6799,Telangana,Mahbubnagar,Independent,M. NAVEEN REDDY,,,,
6800,Telangana,Mahbubnagar,Independent,SANGEPAGA SAROJANAMMA,,,,
6801,Telangana,Mahbubnagar,Dharma Samaj Party,GANTLAVELLI RAKESH,,,,
6802,Telangana,Mahbubnagar,Independent,KARUKONDA SRINIVAS YADAV,,,,
6803,Telangana,Mahbubnagar,Viduthalai Chiruthaigal Katchi,KADINTI SHANKAR REDDY,,,,
6804,Telangana,Mahbubnagar,Indian National Congress,CHALLA VAMSHI CHAND REDDY,,,,
6805,Telangana,Mahbubnagar,Independent,ANDHARI ANJAIAH,,,,
6806,Telangana,Mahbubnagar,Independent,HARINDER REDDY MALLELA,,,,
6807,Telangana,Mahbubnagar,Bahujan Samaj Party,MOHD ALAUDDIN,,,,
6808,Telangana,Mahbubnagar,Independent,VENKATA RAMANA,,,,
6809,Telangana,Mahbubnagar,Alliance of Democratic Reforms Party,VENKATESWARLU TALLADA,,,,
6810,Telangana,Mahbubnagar,Independent,VIJAYA,,,,
6811,Telangana,Mahbubnagar,Independent,DINESH,,,,
6812,Telangana,Mahbubnagar,Independent,HANUMESH,,,,
6813,Telangana,Mahbubnagar,Independent,MUDAVATH BALARAJU NAIK,,,,
6814,Telangana,Mahbubnagar,Independent,NADIMINTI SRINIVASULU,,,,
6815,Telangana,Mahbubnagar,Bharat Rashtra Samithi,MANNE SRINIVAS REDDY,,,,
6816,Telangana,Mahbubnagar,Independent,PULLANGARI SANDEEP KUMAR REDDY,,,,
6817,Telangana,Mahbubnagar,Bharatiya Janata Party,ARUNA. D. K,,,,
6818,Telangana,Mahbubnagar,Independent,BANDA SATYANARAYANA,,,,
6819,Telangana,Mahbubnagar,Independent,GOVINDAMMA,,,,
6820,Telangana,Mahbubnagar,Social Justice Party of India,B. RAVINDER,,,,
6821,Telangana,Mahbubnagar,Telangana Jaghir Party,NARESH REDDY,,,,
6822,Telangana,Mahbubnagar,Bahujan Mukti Party,ANEESUR RAHMAN,,,,
6823,Telangana,Mahbubnagar,Independent,VISHNU VARDHAN REDDY THAPALAKINDHI,,,,
6824,Telangana,Mahbubnagar,Independent,UMASHANKAR NEMMIKANTI,,,,
6825,Telangana,Nagarkurnool,Independent,PAKIRA RAMULU,,,,
6826,Telangana,Nagarkurnool,Rashtriya Praja Congress  (Secular),AYYAPPA SUNIL,,,,
6827,Telangana,Nagarkurnool,Independent,PULJALA BALAIAH,,,,
6828,Telangana,Nagarkurnool,Independent,BIKSHAPATHI LANDA,,,,
